JobTitle,Company,Location,Min Salary,Max Salary,JobType,Summary,Date Posted,JobUrl
project coordinator,JE Agile Sdn Bhd,Bangi,1837.67,4024.82,Full-time ,project coordinator  supporting planning execution monitoring various project across organization,15/6/2024,https://malaysia.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ajalx4WNWi9KzdgHDETRnd530V53bO-BZqurb8I9gLKir8Q7xYKuPUHb7Xlx47usilBQUr8y4hzECuPGYQ_sZVRxVxC6QSoUbnsMMl4i5GtgDz9ODhKco7ywGg9TuchOFP0kgxh8PTn2P8SV9EqlJxo2c4YXdT491XNnCjLw51A8WZB67_sz9Zu3BM7k5PO1u_LZROYfo36_J4SFdm_Ek3esEAUKf0giE3U2lWPnYEpPn8DLPHYBuYg6_lTKDDn6vklFTrLOOIrhhZZLjZXbSZ7HdZ1btVifqa_J7x6NNJ62erSDPRWKJGoH9I2uvW5LDvb_L8D_1nFolGLuc3-SMEvP4Uthdy6R3OsHpoJXeGylU94IsHPW3oyl5r-6SXEY1lo6VNH1GgupTkcFG5g66jJKh9owYGyv3aocJdWQfemONdtRzctgWzD46usdLI6PJXn_R_nQ_vxsr6Ksttbkl2kD5UGBuVxCUMvFYN3R8kECWN8Gz7lC6ZPV2CT7LH2G0NortCfjygg4k5vdEFMxdLS7XLnAlCDqdCGnNBsnEofdu2wW76XFzIE8mwXmAWcR53ZGA7zvQ9FvRfpwgE1upMKyegJwNd9eMBhaKibXv0ED1Jt3IhvNQ3&xkcb=SoA46_M3_UzyhrU-KR0HbzkdCdPP&camk=nUmJqO2E8riuRGUDPt6eHg==&p=12&fvj=1&vjs=3
it support engineer,Maju Digital Centre,Kuala Lumpur,5000,7000,Full-time ,currently seeking support engineer strong background administration option configure troubleshoot email issue,14/6/2024,https://malaysia.indeed.com/rc/clk?jk=948221f57519507b&bb=TeDXU2HtJuWny_6HnGBNddVT5UvHSOSIQuGTbj719FTC0k_yVWMkm-eXHaUBI-axII4Tz0xquLHFcP1eJp4QaUgiTYbALcFe96B-lAL-wJNg_1OfoSVOzEsaFPOhNYwD&xkcb=SoDl67M3_UzyhrU-KR0FbzkdCdPP&fccid=d1899585fe4eb8ac&cmp=hravailable&ti=IT+Support&vjs=3
social media executive/ tiktok host live,AL FALAH HOUSE OF TAILOR (M) SDN BHD,Shah Alam,2200,2200,Full-time,in schedule change along role managing curating content tiptoe account,14/6/2024,https://malaysia.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BMqp_Mjq17LWU2R_n5PHQ-IU8dZTl1k5Q1kdxDOl22f38wRaKc9j1qTjGSraC43uJYInRvZ35ftPF1YpH-sfIOMeMUSCihqj1vGg-agyQMC8tU7Gtxkr9bQAw-4l8pEvNWk7hikrWg-f6SAbMlLg0D7F6tIKwk3TcbFJr9URC2FWIIa0bMLV16j_65SYqB1rNoFdIHwgRfPf9LW5qMVDygPbpdL4qGSLkpe4OJRwg0qeebrlJ8yTTk521NuAmtIGtqbGfTnp9Cs-GxN5umHdO26c6QIstvZO0Ze_kB4WaolQf8sO9rmd-vhLcBOgjWjDHRZrtRfWQtjbdZDSXe_eGsUEPrXmNWr_UK_Odu4158KfwqmCuYdX3oeyYbt-blqGrT9Wo7PuTRxjh10z-wz2lQeiA7t3xW9Hg9P17daSluY0I9wHe9FqZjc0folUZorJ0vWE4aV3Zdu6Z4d1eV2NrdGUBu69LK7TViJ1-UQHynHemX99cpevIaNhuItHWgNUx34y3PGqHfKs9mQCNT4Xuv8bYSsLmO2YP22ALlJkZMTUBC5W63G-AY_q6hMULtno6H6f0WYO56eo2fD0xvyMq2EqIU-J95xWhcpEO8Gq-L34kMXG4IAXBKZ7hAXupAWl7yjr4J6QdblOQGdXextpCQfYsqCGu5Jpbl3uKzSQ5WMw==&xkcb=SoDb6_M3_Uzyr3U-KR0MbzkdCdPP&camk=4HOcmqOLYrB6D-lQMJMxQQ==&p=0&fvj=1&vjs=3
guest service executive,SB Plus Sdn Bhd,Remote in Kuala Lumpur,2000,3000,Full-time ,update pricing room rate daily maintaining rental listing a system update information great communication task organization problem,14/6/2024,https://malaysia.indeed.com/rc/clk?jk=5f5d6dd7633e2741&bb=mBsDBsM6jL71DS2NDoQGCDKlp0Nm_h0h63Wqplxs1_h96S_Xi4_K1ntSOKtHJQOTqtmJq1-a0QSdyK9ClqRO9rveEF5WcQcxmX0CRBPwTeAMkyv8BfNnhRRfeMrZtsXV&xkcb=SoDG67M3_Uzyr3U-KR0DbzkdCdPP&fccid=534505162cfbeec1&cmp=SB-Plus-Sdn-Bhd&ti=Guest+Service+Agent&vjs=3
admin clinic,T. Low Dental Clinic,Petaling Jaya,1500,2000,Full-time,check whether worth non worth admit clinical  providing administrative support care  r maintaining,14/6/2024,https://malaysia.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D0ACJozxO4edGcoruVTirjKHBGg52it2iwHYFdneZpSKnfpyRyh8EupQp_CD0te7b9TZ9oPIGJZCArDTqgqpMJgx8l7A9csByqmYl9kbLY_-9T1Sf7rKW0REjTZb3f4H6NvriYQaSZqd1DicTmfjVczsjyLiGiWEB6yQuxEp4QQKG2tPBlReHaUmLBatJUnTDPVJIu4ah2yUm_Y90NwVOVwz9f3JAJkgkB-CdBtubNcS3FNI2FaGwbbFGgqKLjAOg-TqnF4JBdVEAPQuCeCqqj8iRFjOEJzo0Q1btrg6stOAkS--4uxVctnHguj9B31YLdlJ_4cAU8iZWxTn0degrqE9XBe_QyqyVnPexQXTJmKlFZo3V-mRsudHz0d5zbf_xbHru16h9RK6KkSf5PkEHRLNsiy4-OyUbhPQPcE1XnBgLFbc8V_4Xd9-kyXYiHjoEO1CLR2bc1JBrvpjnXa7oa-V0dY-aLbPpDp7uVKBKDpWELIQ74OePN3fA7D19k_ydnHQ5p6oxvuS6lxiDgFatkZGeLBW6DnR8z9HbuSTc02-oyE4RPiPMxD6LU3ZxwgvF2U7425evn7alsUsnKRXXQRMwgInkKrEp_ejb4qmDgPUqefwomX--LB-QtS8F6vh0=&xkcb=SoAb6_M3_Uzyr3U-KR0BbzkdCdPP&camk=nUmJqO2E8rhzpnEfsaNmhA==&p=3&fvj=1&vjs=3
it support engineer,Braindge Recruitment Solutions Pte Ltd,Johor Bahru,5000,7000,Full-time ,also work closely client project development external stakeholder track implement solution relates,13/6/2024,https://malaysia.indeed.com/rc/clk?jk=85e44043d5c63ad5&bb=mBsDBsM6jL71DS2NDoQGCBjQERzjxF9rXaGq20pzBLj6QL0F_Ym6DRrrwvSaGPaK7y5LoNHa4Vfir2qNhxJrjJ6D8Mp8vB9d7WwSHfZ-PflG8-tgb_WjBnk6GH3tvsqu&xkcb=SoDV67M3_Uzyr3U-KR0HbzkdCdPP&fccid=84d292d6852d6aac&cmp=Braindge-Recruitment-Solutions-Pte-Ltd&ti=IT+Support&vjs=3
freelance it support/network engineer,Tech Domain,Kuala Lumpur,80,90,Freelance,looking onside network support engineertechnician support casual lancing type task area support 1,14/6/2024,https://malaysia.indeed.com/rc/clk?jk=ef0917ceec3f2255&bb=mBsDBsM6jL71DS2NDoQGCIz3Zy2_jXK2e_9JYPCxmf6-sdymdO9v4gv4_Ov2_MknETYqWbIxuM55QR16vn1R3HSmSlOo0xN0rcgzKaUwOi5GBxNmDxkTC9Ch8AHRlNtm&xkcb=SoBh67M3_Uzyr3U-KR0GbzkdCdPP&fccid=e4a864de401a7551&cmp=Tech-Domain&ti=IT+Support&vjs=3
it service management,Abhidi Solution Private Limited,Kuala Lumpur,16000,16000,Full-time ,mehamjot gaur  talent acquisition abide solution client looking collaborate talented people,13/6/2024,https://malaysia.indeed.com/rc/clk?jk=f2b433f9f7c947d4&bb=mBsDBsM6jL71DS2NDoQGCGUC3Kjmp_EJhCMupn33a7nslCs9CtDdX0Ec9dbqQodngyLU7Ru0LR5TsyMWnsHdyJWp8W95WBUM72T4iIhCdp8pakhTYjLTa7-2vQGNKNUs&xkcb=SoD867M3_Uzyr3U-KR0FbzkdCdPP&fccid=f79734ffc80a91ca&cmp=Abhidi-Solution-Private-Limited&ti=IT+Manager&vjs=3
brand manager,She Dazzle,Kuala Lumpur,3000,4000,Full-time,analytical mindset brand manager knack analyzing data help gauge competition identify opportunity understand consumer,15/6/2024,https://malaysia.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cini6n3ogg951W_DlLqoN5E9BqI8-v2mbAQzr6Ab4huRb7fRlKttaCPck3Wi4VkP8CAqtZnyLRKkJzU7aC1EiH871YQVu9m3og3poN0QeVrZBxij9rVc-YGJ3V-NhrGMq_nvrF7rAqTNEUMueyI8xyoakcfMNbagBHdF0G2zfnJOyEiQbErQMIAug6fKzRzKL68KIyUtZrO9N6nCIfQZ_fALq7-HhIQi3cjNgFkpJvi7bVnNgHtxvzLwxnNnYrefcHS58Qu2QChcfvmvtRY39gBEVOexqRFqJAgaWwe9bqiSBHDVde3Op55PF-DIuPALKzJTDyeQRXiVB3MVqtavcHyjLD1pOSTlhF1XtoLYHTkKkUxIBtDRqhwAF8T5LcT_ZRNy_J3oCG5NKkGTcyF_FIsj9_LtgAXfIbad4NAPlmFr6hemfBFI_c61V2uLxUuV5ztmpO-Z09QsyI91sVy0Qy7SxJ5QXNsu08rHfRm0BA0PHATqBA9gcohCMJqmaHGdMZxOfP4gHYyJTNH0uvR1hqYCVE-UC_0CisihKVfZnCz609Amnr58YI-r258ezSoodP1557eBRV0uh3vIhvmGIgdtqyo_sb7xq3O5U-XYOmhQ==&xkcb=SoC86_M3_Uzyr3U-KR0EbzkdCdPP&camk=nUmJqO2E8rgQ2FOmuoWkiw==&p=8&fvj=1&vjs=3
purchasing executive,Protech Builders Sdn Bhd,Melaka,2000,2000,Full-time , procurement warehoelated work liaise project engineer material equipment,14/6/2024,https://malaysia.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DYfq6SicNod0mAnvxl0Hzf9Jo1nGsN-W3sqitD4FUHOGZk9NILWF8IICaZ0yAcprbCh6C-mZHWxuEhJZZQWVOiujeE7a6Yv4A7wEtw_VGNsxg2sJ554WedJrGYyFmp4_Pht8gC_-vh7iV1BzUrDlPZWLTU3MoYghVrz-YE5zmNZBF1eNJAqSSTEJ8QbdqJLXlyM6Hufz_ZQZYX-vwjxsj0pI-2WPShKghrxUMefetwedfQa0nVaFfByTUDWWzcmteL3vWED_S8f-unckQ-0ppD-RIsn0CtLKc9PLcJszcxl1CVTASHE6Tp1gZ8mLKIvHZbljZtt4emSLEkhmH1GyIxWgVNmNeOM3pCz1O812HWSkXBxQkOwOn42CgJI3JymrzNOvQEW1kwNReCs5qWCgj12-bxrPtLHbqnf8Jro9rKjTSEmnsvNrM44kEI_HIrvPPgpBB5PlkHOSL5tn3YaciuQlp6davYyPTOFUTT9UfMcS0gub2ovQ_rzP_u6YIqQXa8eUswTesCdllByO-Uqt2YbaEvHBVg5N87zBnB2hlnUtBMIsWW0xrGiMG3BGaTvHE5N8KyUm6SydNA1ZJhYluUvOgR84-SaTgWIsf7hD0W4jUqZjJFAlAu&xkcb=SoCb6_M3_Uzyr3U-KR0bbzkdCdPP&camk=nUmJqO2E8riPzXaXxzSJ1g==&p=9&fvj=1&vjs=3
internship for computer/it students,Rocketsview Management Sdn Bhd,Kuchai Lama,1000,1000,Internship,gain project project manager technical lead develop participate deployment system,14/6/2024,https://malaysia.indeed.com/rc/clk?jk=6bb1a516e3bfe7ac&bb=mBsDBsM6jL71DS2NDoQGCDKlp0Nm_h0heckWJhXpdL3ZcNyv4dsTp1CpGFpAWoOTX1jnmD8Lxibm8DcxpE8rgjsOhlusQbCOt6eIyQVAHTltMMo8mrQfnUZ8jIa-yxzr&xkcb=SoDy67M3_Uzyr3U-KR0YbzkdCdPP&fccid=2c17baada94f6c15&cmp=N-Moo-Moo-Senders-Sdn-Bhd&ti=Student+Intern&vjs=3
